ISSUER,full_name,Aberdeen Asset Managers Ltd.Standard Life,Against Comments Aberdeen Asset Managers Ltd.Standard Life,AllianceBernstein LP,Against Comments AllianceBernstein LP,Allianz Global Investors GmbH,Against Comments Allianz Global Investors GmbH,Amundi Asset Management SA (Investment Management),Against comments Amundi Asset Management SA (Investment Management),APG Asset Management NV,Against comments APG Asset Management NV,Artemis Investment Management LLP,Against comments Artemis Investment Management LLP,Aviva Investors Global Services Ltd.,Against Comments Aviva Investors Global Services Ltd.,AXA Investment Managers (Paris) SA,Against Comments AXA Investment Managers (Paris) SA,Baillie Gifford & Co.,Against Comments Baillie Gifford & Co.,"Blackrock, Inc","Against Comments Blackrock, Inc",BMO Global Asset Management,Against comments BMO Global Asset Management,BNP Paribas Asset Management France SAS,Against comments BNP Paribas Asset Management France SAS,"Boston Partners Global Investors, Inc.","Against comments Boston Partners Global Investors, Inc.",Brandes Investment Partners LP,Against comments Brandes Investment Partners LP,California State Teachers' Retirement System,Against Comments California State Teachers' Retirement System,Canada Pension Plan Investment Board,Against comments Canada Pension Plan Investment Board,Candriam Investors Group,Against Comments Candriam Investors Group,Capital Research & Management Co. (World Investors),Against Comments Capital Research & Management Co. (World Investors),"Charles Schwab Investment Management, Inc.","Against Comments Charles Schwab Investment Management, Inc.","CI Investments, Inc","Against Comments CI Investments, Inc",Colorado Public Employees' Retirement Association,Against comments Colorado Public Employees' Retirement Association,Credit Suisse Asset Management (Schweiz) AG,Against comments Credit Suisse Asset Management (Schweiz) AG,Deka Investment GmbH,Against comments Deka Investment GmbH,Dimensional Fund Advisors LP,Against Comments Dimensional Fund Advisors LP,FIL Investment Advisors (UK) Ltd.,Against Comments FIL Investment Advisors (UK) Ltd.,First Sentier Investors,Against Comments First Sentier Investors,Florida RSTF,Against comments Florida RSTF,Gresham House Asset Management,Against Comments Gresham House Asset Management,Guardians of New Zealand Superannuation,Against Comments Guardians of New Zealand Superannuation,Hermes EOS,Against comments Hermes EOS,HSBC Global Asset Management (UK) Ltd.,Against comments HSBC Global Asset Management (UK) Ltd.,Invesco Asset Management Ltd.,Against Comments Invesco Asset Management Ltd.,Irish Life Investment Managers Ltd.,Against Comments Irish Life Investment Managers Ltd.,Janus Henderson Investors,Against Comments Janus Henderson Investors,Jennison Associates LLC,Against Comments Jennison Associates LLC,Jupiter Asset Management Ltd.,Against comments Jupiter Asset Management Ltd.,La Banque Postale Asset Management SA,Against Comments La Banque Postale Asset Management SA,Legal & General,Against Comments Legal & General,LGPS Central,Against comments LGPS Central,Liontrust Sustainable Investments,Against Comments Liontrust Sustainable Investments,M&G Investment Management Ltd,Against Comments M&G Investment Management Ltd,Manulife Investment Management (US) LLC,Against Comments Manulife Investment Management (US) LLC,Massachusetts Financial Services Co.,Against Comments Massachusetts Financial Services Co.,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,Against Comments MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,Mellon Investments Corp.,Against comments Mellon Investments Corp.,Natixis,Against Comments Natixis,NBIM,Against Comments NBIM,NFU Mutual,Against comments NFU Mutual,"Nikko Asset Management Co., Ltd.","Against Comments Nikko Asset Management Co., Ltd.",Ninety One UK Ltd.,Against comments Ninety One UK Ltd.,Nordea Investment Management AB (Denmark),Against Comments Nordea Investment Management AB (Denmark),Northern Trust Global Investments Ltd,Against Comments Northern Trust Global Investments Ltd,Ossiam SA,Against Comments Ossiam SA,Ostrum Asset Management SA,Against Comments Ostrum Asset Management SA,PGGM,Against comments PGGM,Pictet Asset Management SA,Against CommentsPictet Asset Management SA,Principal Global Investors LLC,Against Comments Principal Global Investors LLC,Rathbones Investment Management,Against Comments Rathbones Investment Management,"RBC Global Asset Management, Inc.","Against comments RBC Global Asset Management, Inc.",River and Mercantile Asset Management,Against Comments River and Mercantile Asset Management,Robeco Institutional Asset Management BV,Against comments Robeco Institutional Asset Management BV,Royal London Asset Management Ltd,Against Comments Royal London Asset Management Ltd,Russell Investment Management LLC,Against Comments Russell Investment Management LLC,Schroder Investment Management Ltd.,Against Comments Schroder Investment Management Ltd.,SEB Investment Management AB,Against Comments SEB Investment Management AB,State Street Global Advisors Ltd.,Against comments State Street Global Advisors Ltd.,Storebrand Asset Management AS,Against Comments Storebrand Asset Management AS,Swedbank Robur Fonder AB,Against Comments Swedbank Robur Fonder AB,Sycomore Asset Management SA,Against Comments Sycomore Asset Management SA,"T. Rowe Price Associates, Inc.","Against Comments T. Rowe Price Associates, Inc.",The Caisse de depot et placement du Quebec,Against Comments The Caisse de depot et placement du Quebec,The California Public Employees Retirement System,Against comments The California Public Employees Retirement System,"The Vanguard Group, Inc.","Against comments The Vanguard Group, Inc.",Threadneedle Asset Management Ltd.,Against Comments Threadneedle Asset Management Ltd.,TOBAM SAS,Against Comments TOBAM SAS,UBS Asset Management Switzerland AG,Against Comments UBS Asset Management Switzerland AG,Unicorn Asset Management,Against Comments Unicorn Asset Management,USS Investment Management Ltd,Against Comments USS Investment Management Ltd,Zurcher Kantonalbank (Investment Management),Against Comments Zurcher Kantonalbank (Investment Management),Mackenzie Financial Corp.,Against Comments Mackenzie Financial Corp.,TIAA-CREF Investment Management LLC,Against Comments TIAA-CREF Investment Management LLC,Union Investment,Against Comments Union Investment,Franklin Templeton Fund Management Ltd,Against Comments Franklin Templeton Fund Management Ltd,Guardians of New Zealand Superannuation,Against Comments Guardians of New Zealand Superannuation,Harris Associates LP,Against comments Harris Associates LP,Eaton Vance Management,Against Comments Eaton Vance Management,Aberdeen Asset Managers Ltd.Standard Life,Against Comments Aberdeen Asset Managers Ltd.Standard Life,J.O. Hambro Capital Management Ltd.,Against comments J.O. Hambro Capital Management Ltd.,Handelsbanken Asset Management,Against Comments Handelsbanken Asset Management,NNIP Advisors BV,Against Comments NNIP Advisors BV,Lazard Asset Management LLC,Against Comments Lazard Asset Management LLC,Artisan Partners,Against comments Artisan Partners
3i Group,Approve Remuneration Report,For,No comments available,For,No comment available,For,No comment available,For,No comment available,For,No comments available,For,No comment available,For,"Under normal circumstances, we would have not supported the remuneration report to reflect our concerns regarding threshold vesting levels under the LTIP. The achievement of threshold performance conditions (only) results in vesting of 20% (in respect of the absolute TSR target) and 25% of the award potential (in respect of median relative TSR), and this level of vesting represents 90% of salary which we consider to be overly generous for this level of performance. Also, the CEO's bonus opportunity is very high (the same as the LTIP opportunity) at 400% of salary. However, we have exceptionally supported as we are mindful that salaries continue to be positioned at lower quartile (using a balanced comparison) and as variable awards are based off of salaries, the outcomes are not as problematic as they first appear. Also, pay and performance for the year under review were reasonably aligned.",For,No comment available,For,No comment available,For,No comment available,Did Not Vote,No comments available,For,No comment available,No voting information available,No comment available,No voting information available,No comment available,For,No comments available,For,No comments available,Against,Total remuneration is more than two times the median of peers.- The total short-term remuneration is more than 150% of base salary.- Total variable remuneration is more than 350% of base salary.,For,No comment available,For ,No comment available,No voting information available,No comments available,For,No comments available,For,No comments available,For,No comment available,For,No comments available,For,No comment available,For,No comments available,For,No comments available,For,No comment available,For,No comment available,No voting information available,No comment available,Against,We consider the quantum of the total pay excessive.,For,No comment available,For,No comment available,No voting information available,No comment available,No voting information available,No comment available,For,No comment available,Against,No comment available,For,No comment available,No voting information available,No comment available,No voting information available,No comments available,For,No comments available,For,No comment available,For,No comment available,No voting information available,No comment available,For,No comment available,No voting information available,No comment available,For,No comments available,For,No comment available,For,No comments available,For,No comments available,For,No comment available,For,No comments available,No voting information available,No comment available,For,No comment available,For,No comments available,For,No comments available,For,No comments available,For,No comment available,Against,No comments available,No voting information available,No comments available,For,No comments available,For,No comments available,For,No comment available,For,No comment available,For,No comment available,For,No comment available,For,No comment available,For,No comment available,No voting information available,No comment available,For,No comments available,No voting informationa available,No comment available,For,No comments available,For,No comment available,For,No comments available,No voting information available,No comment available,For,No comments available,No voting information available,No comment available,Against,No comments available,For,No comment available,No voting information available,No comments available,For,No comments available,Against,No comments available,For,No comment available,For,No comment available,No voting information available,No comments available,No voting informatin available,No comment available,For,No comments available,For,No comment available,No voting information available,No comment available,No voting information available,No comment available,For,No comment available,No voting information available,No comments available
Abrdn Plc,Approve Remuneration Report,No voting information available,No comments available,For,No comment available,No voting information available,No comment available,Against,No comment available,For,No comments available,No voting information available,No comment available,Against,"Poor performance linkage, Concerns over generosity of arrangements, Too much vesting at threshold or median performance, New exec on higher pay then predecessor",No voting information available ,No comment available,Against,No comment available,For,No comment available,For,No comments available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comment available,For,No comments available,No voting information available,No comments available,Against,"The CEO's bonus paid out at 36% of maximum (GBP 800,000), largely driven by the outturn of non-financial metrics, which might appear excessive considering financial performance during the year.- Jason Windsor will receive awards to compensate for remuneration forfeited on leaving his previous employer",No voting information available,No comment available,Against,No comment available,No voting information available,No comments available,Against,No comments available,For,No comments available,For,No comment available,Against,No comments available,No voting information available,No comment available,Against,No comments available,Against,Significant base salary on appointment,No voting information available,No comment available,For,No comment available,No voting information available,No comment available,For,No comment available,For,No comment available,For,No comment available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comment available,Against,No comment available,For,No comment available,No voting information available,No comment available,No voting information available,No comments available,For,No comments available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comment available,For,No comment available,No voting information available,No comment available,For,No comments available,No voting information available,No comment available,No voting information available,No comments available,No voting information available,No comments available,For,No comment available,For,No comments available,No voting information available,No comment available,For,No comment available,No voting information available,No comments available,For,No comments available,Against,No comments available,Abstain,There is misalignment between shareholder experience and the quantum of variable pay received by senior management.,For,No comments available,No voting information available,No comments available,For,No comments available,Against,We have some concerns over the significant salary increase on appointment for the CFO,Against,No comment available,For,No comment available,No voting information available,No comment available,For,No comment available,For,No comment available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comments available,No voting informationa available,No comment available,Against,No comments available,For,No comment available,No voting information available,No comments available,No voting information available,No comment available,For,No comments available,No voting information available,No comment available,Against,We have concerns regarding the alignment of pay with performance.,No voting information availabale,No comment available,No voting information available,No comments available,For,No comments available,Against,No comments available,For,No comment available,For,No comment available,No voting information available,No comments available,No voting informatin available,No comment available,No voting information available,No comments available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comments available
Admiral Group Plc,Approve Remuneration Report,For,No comments available,For,No comment available,For,No comment available,For,No comment available,For,No comments available,No voting information available,No comment available,For,No comment available,For,No comment available,For ,No comment available,For,No comment available,For,No comments available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comment available,For,No comments available,For,No comments available,For,No comments available,No voting information available,No comment available,For ,No comment available,No voting information available,No comments available,For,No comments available,For,No comments available,For,No comment available,For,No comments available,For,No comment available,For,No comments available,For,No comments available,No voting information available,No comment available,For,No comment available,No voting information available,No comment available,For,No comment available,For,No comment available,For,No comment available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comment available,For,No comment available,No voting information available,No comment available,No voting information available,No comments available,No voting information available,No comments available,"For, Against",Split Vote- No comment available,For,No comment available,For,No comment available,For,No comment available,No voting information available,No comment available,For,No comments available,No voting information available,No comment available,For,No comments available,For,No comments available,For,No comment available,For,No comments available,No voting information available,No comment available,No voting information available,No comment available,For,No comments available,For,No comments available,For,No comments available,For,No comment available,For ,No comments available,No voting information available,No comments available,For,No comments available,For,No comments available,For,No comment available,For,No comment available,No voting information available,No comment available,For,No comment available,Did Not Vote,No comment available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comments available,For,No comment available,For,No comments available,For,No comment available,No voting information available,No comments available,For,No comment available,For,No comments available,No voting information available,No comment available,For,No comments available,No voting information availabale,No comment available,No voting information available,No comments available,For,No comments available,No voting information available,No comments available,For,No comment available,For,No comment available,No voting information available,No comments available,For,No comment available,For,No comments available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comments available
Airtel Africa Plc,Approve Remuneration Report,Against,"We were concerned that there was no disclosure of performance targets which determine vesting of the Long Term Incentive Plan. We were concerned regarding the pay for performance alignment. Concerns have been identified with the departing CEO's exit arrangements, in particular the Company's decision to pro-rate his outstanding LTIP awards until after his retirement date and following a further 12 month period during which time he will provide advisory services to the Company. Furthermore, the Company has chosen to accelerate vesting of these awards to 30 June 2024 and estimate the performance for the ensuing year in determining the amount that should vest. Lastly, he is not subject to the post-vesting holding period for the LTIP awards. The incoming CEO received a one-off exceptional award to incentivise a strategic initiative.",Against,No comment available,Against,"AllianzGI believes that all incentive awards should be time pro-rated and tested for performance, including in the event of an early termination due to the change of control. Termination payments following a change of control should be similar to those available under normal circumstances. AllianzGI expects clear disclosure of KPIs under all management incentive plans to enable investors to better assess the link between management incentives and corporate strategy and performance.",Against,No comment available,No voting information available,No comments available,No voting information available,No comment available,Against,"Company is not an accredited Living Wage Employer, Poor disclosure, Inappropriate discretionary payments",Against,Remuneration Policy not aligned with long-term shareholder interests,No voting information available,No comment available,Against,Remuneration arrangements are poorly structured. Vesting conditions and performance hurdles are unsatisfactory. Poor use of remuneration committee discretion regarding the grant of a one-off award.,No voting information available,No comments available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comment available,For,No comments available,Against,No comments available,Against,"Concerns have been identified with the departing CEO's exit arrangements, in particular the Company's decision to pro-rate his outstanding LTIP awards until after his retirement date and following a further 12 month period during which time he will provide advisory services to the Company. Furthermore, the Company has chosen to accelerate vesting of these awards to 30 June 2024 and estimate the performance for the ensuing year in determining the amount that should vest. Lastly, he is not subject to the post-vesting holding period for the LTIP awards.- The incoming CEO received a one-off exceptional award to incentivise a strategic initiative.In addition:- Total variable remuneration is more than 350 percent of base salary.",No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comments available,For,No comments available,Against,No comments available,No voting information available,No comment available,Against,No comments available,No voting information available,No comment available,No voting information available,No comments available,Against,"Concerns have been identified with the departing CEO's exit arrangements, in particular the Company's decision to pro-rate his outstanding LTIP awards until after his retirement date and following a further 12 month period during which time he will provide advisory services to the Company. Furthermore, the Company has chosen to accelerate vesting of these awards to 30 June 2024 and estimate the performance for the ensuing year in determining the amount that should vest. Lastly, he is not subject to the post-vesting holding period for the LTIP awards. * The incoming CEO received a one-off exceptional award to incentivise a strategic initiative",No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comment available,Against,"Concerns have been identified with the departing CEO's exit arrangements, in particular the Company's decision to pro-rate his outstanding LTIP awards until after his retirement date and following a further 12 month period during which time he will provide advisory services to the Company. The Company has chosen to accelerate vesting of these awards to 30 June 2024 and estimate the performance for the ensuing year in determining the amount that should vest. The departing CEO is not subject to the post-vesting holding period for the LTIP awards.The incoming CEO received a one-off exceptional award to incentivise a strategic initiative.",Against,No comment available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comment available,Against,Lack of disclosure relating to performance conditions. A vote against is applied because the company has adopted an incentive plan that is not aligned with LGIM's UK policy on executive pay. A vote against is applied due to the Remuneration Committee adjusting the vesting date to enable awards to vest early for the departing director.,Against,Pay is misaligned with EOS remuneration principles,No voting information available,No comments available,No voting information available,No comments available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comment available,Against,"The board is responsible for attracting the right CEO and setting appropriate remuneration. A substantial proportion of annual remuneration should be provided as shares that are locked in for five to ten years, regardless of resignation or retirement. The board should provide transparency on total remuneration to avoid unacceptable outcomes. The board should ensure that all benefits have a clear business rationale. Pensionable income should constitute a minor part of total remuneration.CEO remuneration",No voting information available,No comment available,No voting information available,No comments available,No voting information available,No comments available,Against,No comment available,No voting information available,No comments available,No voting information available,No comment available,No voting information available,No comment available,Against,The grants under the long-term incentive plan are not sufficiently performance based.,Against,"Concerns have been identified with the departing CEO's exit arrangements, in particular the Company's decision to pro-rate his outstanding LTIP awards until after his retirement date and following a further 12 month period during which time he will provide advisory services to the Company. Furthermore, the Company has chosen to accelerate vesting of these awards to 30 June 2024 and estimate the performance for the ensuing year in determining the amount that should vest. Lastly, he is not subject to the post-vesting holding period for the LTIP awards. - The incoming CEO received a one-off exceptional award to incentivise a strategic initiative.",No voting information available,No comments available,No voting information available,No comment available,No voting information available,No comments available,For,No comments available,For,No comments available,Against,"We retain our concerns over the company's remuneration practices with the granting of both performance and restricted shares. In addition to this, we take issue with the one-off award.",No voting information available,No comment available,For,No comment available,No voting information available,No comment available,No voting informatin available,No comment available,Did Not Vote,No comment available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comments available,Against,No comment available,For,No comments available,No voting information available,No comment available,No voting information available,No comments available,No voting information available,No comment available,Against,One-off payments inadequately justified. Accelerated vesting at retirement undermines shareholder long-term interest.,No voting information available,No comment available,Against,We have concerns regarding the alignment of pay with performance,No voting information availabale,No comment available,No voting information available,No comments available,Against,No comments available,No voting information available,No comments available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comments available,No voting informatin available,No comment available,Against,"We were concerned that there was no disclosure of performance targets which determine vesting of the Long Term Incentive Plan. We were concerned regarding the pay for performance alignment. Concerns have been identified with the departing CEO's exit arrangements, in particular the Company's decision to pro-rate his outstanding LTIP awards until after his retirement date and following a further 12 month period during which time he will provide advisory services to the Company. Furthermore, the Company has chosen to accelerate vesting of these awards to 30 June 2024 and estimate the performance for the ensuing year in determining the amount that should vest. Lastly, he is not subject to the post-vesting holding period for the LTIP awards. The incoming CEO received a one-off exceptional award to incentivise a strategic initiative.",No voting information available,No comment available,For,No comment available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comments available
Anglo American Plc,Approve Remuneration Report,For,No comments available,For,No comment available,For,No comment available,For,No comment available,Against,No comments available,For,No comment available,Abstain,Too much vesting at threshold or median performance,For,No comment available,For,No comment available,For,No comment available,No voting information available,No comments available,For,No comment available,No voting information available,No comment available,No voting information available,No comment available,For,No comments available,For,No comments available,For,No comments available,No voting information available,No comment available,For ,No comment available,No voting information available,No comments available,For,No comments available,For,No comments available,For,No comment available,For,No comments available,For,No comment available,No voting information available,No comments available,For,No comments available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comment available,Against,We consider the quantum of the total pay excessive.,For,No comment available,For,No comment available,For,No comment available,No voting information available,No comment available,For,No comment available,For,No comment available,For,No comment available,No voting information available,No comment available,No voting information available,No comments available,For,No comments available,For,No comment available,For,No comment available,For,No comment available,For,No comment available,No voting information available,No comment available,For,No comments available,For,No comment available,No voting information available,No comments available,For,No comments available,For,No comment available,For,No comments available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comments available,For,No comments available,For,No comments available,For,No comment available,"For, Against",No comments available,For,No comments available,No voting information available,No comments available,For ,No comments available,For,No comment available,For,No comment available,No voting information available,No comment available,For,No comment available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comment available,For,No comments available,For,No comment available,For,No comments available,For,No comment available,For,No comments available,No voting information available,No comment available,For,No comments available,No voting information available,No comment available,For,No comments available,Against,No comment available,No voting information available,No comments available,For,No comments available,For,No comments available,For,No comment available,No voting information available,No comment available,No voting information available,No comments available,No voting informatin available,No comment available,For,No comments available,For,No comment available,No voting information available,No comment available,No voting information available,No comment available,For,No comment available,No voting information available,No comments available
Antofagasta Plc,Approve Remuneration Report,For,No comments available,For,No comment available,For,No comment available,For,No comment available,Against,No comments available,No voting information available,No comment available,For,"Under normal circumstances, we would not have supported this item on account of our concerns over (i) lack of an executive shareholding requirement; (ii) LTIP being cash settled as awarded in phantom shares and includes an element of restricted shares; and a (iii) lack of post-vesting holding periods and post-cessation shareholding requirements. However, we note that the CEO is based in Chile and is not a member of the Main Board. While, the policy falls short of UK best market practice requirements, we take cognisance of the fact that the remuneration is structured in a way that is suitable for the Chilean market, we are supporting this item on an exceptional basis this year.",For,No comment available,For,No comment available,For,No comment available,For,No comments available,Against,No comment available,No voting information available,No comment available,No voting information available,No comment available,For,No comments available,For,No comments available,Against,"The total short-term remuneration is more than 150% of base salary.- As in earlier years, the LTIP includes restricted shares, which are not dependent on performance",For,No comment available,For ,No comment available,No voting information available,No comments available,For,No comments available,For,No comments available,For,No comment available,For,No comments available,No voting information available,No comment available,No voting information available,No comments available,For,No comments available,No voting information available,No comment available,For,No comment available,No voting information available,No comment available,For,No comment available,For,No comment available,For,No comment available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comment available,Against,No comment available,Against,A sufficient proportion of the award is not deferred into shares for a period of time. The plan is in addition to existing plans and therefore fails our requirement for the remuneration structure to be simple.,No voting information available,No comment available,No voting information available,No comments available,No voting information available,No comments available,For,No comment available,No voting information available,No comment available,Against,No comment available,For,No comment available,No voting information available,No comment available,For,No comments available,No voting information available,No comment available,No voting information available,No comments available,For,No comments available,Against,We do not support the proposal as it does not protect or enhance long-term shareholder value creation.,For,No comments available,No voting information available,No comment available,No voting information available,No comment available,Against,The grants under the long-term incentive plan are not sufficiently performance based. The compensation plan lacks of clawback provisions under the Short-Term Incentive Plan. Minimum vesting period for awards granted under the plan is too short.,For,No comments available,For,No comments available,No voting information available,No comment available,For,No comments available,No voting information available,No comments available,Against,Remuneration does not adhere to best practice of having clawback in place for LTIP,Against,"We have ongoing concerns over the CEO's salary increase and its associated crutch on awards given an increase to the LTIP maximum. We also note some concerns over the restricted share plan, vesting in less than three years and lacking any performance conditions.",For,No comment available,Against,Metric Concerns: Less than 50% of STI targets are financial.,No voting information available,No comment available,For,No comment available,For,No comment available,No voting information available,No comment available,No voting information available,No comment available,For,No comments available,No voting informationa available,No comment available,For,No comments available,For,No comment available,For,No comments available,No voting information available,No comment available,For,No comments available,No voting information available,No comment available,Against,We have concerns regarding the alignment of pay with performance.,For,No comment available,No voting information available,No comments available,For,No comments available,Against,No comments available,For,No comment available,For,No comment available,No voting information available,No comments available,No voting informatin available,No comment available,For,No comments available,For,No comment available,For,No comment available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comments available
Ashtead Group,Approve Remuneration Report,For,No comments available,For,No comment available,For,No comment available,For,No comment available,For,No comments available,No voting information available,No comment available,For,No comment available,For,No comment available,For ,No comment available,For,No comment available,For,No comments available,For,No comment available,No voting information available,No comment available,No voting information available,No comment available,For,No comments available,For,No comments available,Against,"Total variable remuneration is more than 350% of base salary. - The NED fee levels have been increased at a rate above the workforce's average increase, and no explanation has been provided by the Company in the meeting materials.",No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comments available,For,No comments available,For,No comments available,For,No comment available,For,No comments available,For,No comment available,For,No comments available,For,No comments available,No voting information available,No comment available,For,No comment available,No voting information available,No comment available,Against,We consider the quantum of the total pay excessive.,For,No comment available,For,No comment available,No voting information available,No comment available,No voting information available,No comment available,For,No comment available,Against,No comment available,For,No comment available,For,No comment available,No voting information available,No comments available,No voting information available,No comments available,No voting information available,No comment available,For,No comment available,For,No comment available,No voting information available,No comment available,No voting information available,No comment available,For,No comments available,No voting information available,No comment available,No voting information available,No comments available,No voting information available,No comments available,For,No comment available,For,No comments available,For,No comment available,For,No comment available,For,No comments available,For,No comments available,No voting information available,No comments available,For,No comment available,No voting information available,No comments available,For,No comments available,For,No comments available,For,No comments available,No voting information available,No comment available,For,No comment available,For,No comment available,No voting informatin available,No comment available,For,No comment available,For,No comment available,No voting information available,No comment available,For,No comments available,No voting informationa available,No comment available,Against,No comments available,No voting information available,No comment available,No voting information available,No comments available,No voting information available,No comment available,For,No comments available,No voting information available,No comment available,Against,We have concerns regarding the alignment of pay with performance.,For,No comment available,No voting information available,No comments available,For,No comments available,Against,No comments available,No voting information available,No comment available,For,No comment available,No voting information available,No comments available,No voting informatin available,No comment available,For,No comments available,For,No comment available,For,No comment available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comments available
Associated British Foods,Approve Remuneration Report,For,No comments available,For,No comment available,For,No comment available,For,No comment available,No voting information available,No comments available,No voting information available,No comment available,No voting information available,No comment available,For,No comment available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comments available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comment available,Against,No comments available,For,No comments available,Against,The total short-term remuneration is more than 150% of base salary. - Total variable remuneration is more than 350% of base salary.,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comments available,Against,No comments available,For,No comments available,For,No comment available,No voting information available,No comments available,For,No comment available,No voting information available,No comments available,Against,No comments available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comment available,For,No comment available,For,No comment available,For,No comment available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comment available,For,No comment available,No voting information available,No comment available,No voting information available,No comments available,No voting information available,No comments available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comment available,For,No comments available,No voting information available,No comment available,No voting information available,No comments available,No voting information available,No comments available,Against,No comment available,No voting information available,No comments available,Against,No comment available,No voting information available,No comment available,No voting information available,No comments available,No voting information available,No comments available,No voting information available,No comments available,For,No comment available,No voting information available,No comments available,No voting information available,No comments available,Against,No comments available,For,No comments available,No voting information available,No comment available,Against,No comment available,No voting information available,No comment available,No voting informatin available,No comment available,For,No comment available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comments available,For,No comment available,Against,No comments available,No voting information available,No comment available,No voting information available,No comments available,No voting information available,No comment available,No voting information available,No comments available,No voting information available,No comment available,Against,We have concerns regarding the alignment of pay with performance.,No voting information availabale,No comment available,No voting information available,No comments available,For,No comments available,No voting information available,No comments available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comments available,No voting informatin available,No comment available,For,No comments available,For,No comment available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comment available,No voting information available,No comments available
