ISSUER,full_name,vote_raw,against_reason,investor,vote
3i Group,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Admiral Group Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Airtel Africa Plc,Approve Remuneration Report,Against,"We were concerned that there was no disclosure of performance targets which determine vesting of the Long Term Incentive Plan. We were concerned regarding the pay for performance alignment. Concerns have been identified with the departing CEO's exit arrangements, in particular the Company's decision to pro-rate his outstanding LTIP awards until after his retirement date and following a further 12 month period during which time he will provide advisory services to the Company. Furthermore, the Company has chosen to accelerate vesting of these awards to 30 June 2024 and estimate the performance for the ensuing year in determining the amount that should vest. Lastly, he is not subject to the post-vesting holding period for the LTIP awards. The incoming CEO received a one-off exceptional award to incentivise a strategic initiative.",Aberdeen Asset Managers Ltd.Standard Life,AGAINST
Anglo American Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Antofagasta Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Ashtead Group,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Associated British Foods,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
AstraZeneca,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Auto Trader Group,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Aviva,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
B&M European Value Retail,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
BAE Systems Plc,Directors' Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Barclays,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Barratt Developments,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Beazley,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Berkeley Group Holdings,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
BP Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
British American Tobacco Plc,To approve the Directors' remuneration report for the year ended 31 December 2023.,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
British Land Co,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
BT Group Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Bunzl Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Burberry Group Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Centrica,Approve Remuneration Report,Against,"We have concerns regarding the significant vesting outcome of the 2021 Long Term Incentive Plan. While we recognise that there was no significant reduction in share price between the awards granted May and June 2021, we have concerns that the company reverted to a 300% of salary incentive award and there was no subsequent adjustment on vesting for windfall gains despite the depressed share price at grant. We additionally have concerns regarding the reputational impact of such a significant award.",Aberdeen Asset Managers Ltd.Standard Life,AGAINST
Compass Group Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
ConvaTec Group,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Croda International Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
DCC Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Diageo Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
DS Smith Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Endeavour Mining Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Entain Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Experian Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
F&C Investment Trust Plc (Foreign & Colonial Investment Trust Plc),Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Flutter Entertainment Plc,Approve Remuneration Report,Against,Concerns regarding the one off Long Term Incentive award of 16x salary. In addition this award is determined wholly by relative TSR with no formal financial underpin. Consistent with our votes last year we consider a vote against to be appropriate.,Aberdeen Asset Managers Ltd.Standard Life,AGAINST
Frasers Group,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Fresnillo Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Glencore Plc,To approve the Directors' Remuneration Report (excluding the Directors' Remuneration Policy) as set out in the 2023 Annual Report.,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
GSK Plc,Approve Remuneration Report,Against,"We have a concern around the high value of vesting under the Long Term Incentive for only threshold/median performance. The grant size of LTI awards is 575% of salary, but 25% of this vests for threshold financial/median TSR performance. This is 143% of salary and makes the company a significant outlier from the rest of the UK market in this regard.",Aberdeen Asset Managers Ltd.Standard Life,AGAINST
Haleon Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Halma Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Hargreaves Lansdown Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Hiscox Ltd,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
HSBC Holdings Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Imperial Brands Plc,To approve the Directors' Remuneration Report for the financial year ended 30 September 2023.,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Informa Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
InterContinental Hotels Group Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
International Consolidated Airlines Group SA,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Intertek Group Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
JD Sports Fashion Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Johnson Matthey Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Kingfisher Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Land Securities Group Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Legal & General Group Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Lloyds Banking Group Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
London Stock Exchange Group Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
M&G,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Melrose Industries Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Mondi Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
National Grid Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Natwest Group Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Next Plc,Approve Remuneration Report,Against,We had concerns regarding the misalignment of executive pensions with the wider workforce.,Aberdeen Asset Managers Ltd.Standard Life,AGAINST
Ocado Group Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Pearson Plc,Approve Remuneration Report,Against,"We were concerned regarding the pay for performance alignment. The Company's remuneration policy received significant dissent at the 2023 AGM (46% against) in light of concerns around the substantial increase in both the annual bonus and LTIP maximum opportunities. Despite the level of dissent recorded, no material actions have been taken to the remuneration arrangements to address the concerns.Concerns remain on the subjective nature of the Co-Investment Award's performance underpins and their sufficiency and appropriateness to justify the substantial payout. It is, however, recognised that the Remuneration Committee has provided commentary in the annual report on its assessment of the performance underpins. This scheme was previously supported by majority of shareholders, albeit not without notable dissents.",Aberdeen Asset Managers Ltd.Standard Life,AGAINST
Persimmon Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Prudential Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Relx Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Rentokil Initial,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Rightmove Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Rio Tinto,Approve Remuneration Report for UK Law Purposes,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Rio Tinto,Approve Remuneration Report for Australian Law Purposes,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Rolls-Royce Holdings,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
RS Group Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Sage Group (The Sage Group Plc),Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Sainsbury /(J Sainsbury Plc),Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Schroders Plc,Approve Remuneration Report,Against,"We have been unsupportive of the company's Remuneration Policy, and consequently its Remuneration Report, in recent years. Our concerns relate to the absence of a specific cap on the annual bonus scheme. While in 2020 the company introduced an overall cap on total remuneration at time of grant for the CEO (9m sterling pounds) and CFO (4.5m sterling pounds), the bonus does not have an underlying limit which we expect to see. There is a limit on the Long-Term Incentive, of 4x salary, however awards in practice have been far lower - at 1.2x and 1x. Therefore the bonus potential, taking account of the total remuneration cap, is significant when considering the executive salary and LTI grant level. We do note that executives have not received salary increases, the bonus outcome was reduced by 250k sterling pounds to reflect shareholder experience and there was no LTI vesting in FY23 due to the waiving of awards during the pandemic in 2020. However in view of our ongoing reservations regarding the absence of an individual cap on the annual bonus, we have voted against.",Aberdeen Asset Managers Ltd.Standard Life,AGAINST
Segro,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Severn Trent Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Smith & Nephew Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
Smiths Group Plc,Approve Remuneration Report,For,No comments available,Aberdeen Asset Managers Ltd.Standard Life,FOR
